salonId,month,salonExistsInLedger,ledgerMonthExists,originalBeginningBalance,newBeginningBalance,beginningBalanceDelta,accrued,originalRedeemed,oldRedeemedAdded,newRedeemed,redeemedDelta,cumulativePriorOldRedeemedAppliedToBalance,eligibleForUpdate,reasonSkipped
US10018,2026-03,YES,NO,0,0,0,0,0,186,186,186,0,YES,
US10045,2026-01,YES,YES,1283,1283,0,354,0,0,0,0,0,NO,No old redemption or balance impact for this month
US10045,2026-02,YES,NO,0,0,0,0,0,195,195,195,0,YES,
US10054,2026-03,YES,NO,0,0,0,0,0,694,694,694,0,YES,
US10057,2026-03,YES,NO,0,0,0,0,0,263,263,263,0,YES,
US10081,2026-01,YES,YES,154,154,0,37,0,0,0,0,0,NO,No old redemption or balance impact for this month
US10081,2026-02,YES,NO,0,0,0,0,0,150,150,150,0,YES,
US10104,2026-01,YES,YES,45,45,0,289,0,0,0,0,0,NO,No old redemption or balance impact for this month
US10104,2026-02,YES,NO,0,0,0,0,0,473,473,473,0,YES,
US10108,2026-01,YES,YES,35,35,0,20,0,0,0,0,0,NO,No old redemption or balance impact for this month
US10108,2026-02,YES,NO,0,0,0,0,0,32,32,32,0,YES,
US10173,2026-03,YES,NO,0,0,0,0,0,220,220,220,0,YES,
US10202,2026-03,YES,NO,0,0,0,0,0,267,267,267,0,YES,
US10209,2026-01,YES,YES,147,147,0,42,0,0,0,0,0,NO,No old redemption or balance impact for this month
US10209,2026-02,YES,NO,0,0,0,0,0,73,73,73,0,YES,
US10253,2026-01,YES,YES,309,309,0,93,0,0,0,0,0,NO,No old redemption or balance impact for this month
US10253,2026-02,YES,NO,0,0,0,0,0,281,281,281,0,YES,
US10255,2026-03,YES,NO,0,0,0,0,0,32,32,32,0,YES,
US10259,2026-01,YES,YES,135,135,0,103,0,0,0,0,0,NO,No old redemption or balance impact for this month
US10259,2026-02,YES,NO,0,0,0,0,0,94,94,94,0,YES,
US10259,2026-04,YES,YES,325,231,-94,0,322,0,322,0,94,YES,
US10259,2026-06,YES,YES,138,44,-94,0,112,0,112,0,94,YES,
US10266,2026-03,YES,NO,0,0,0,0,0,80,80,80,0,YES,
US10299,2026-03,YES,NO,0,0,0,0,0,287,287,287,0,YES,
US10303,2026-03,YES,NO,0,0,0,0,0,162,162,162,0,YES,
US10305,2026-02,YES,NO,0,0,0,0,0,440,440,440,0,YES,
US10310,2026-03,YES,NO,0,0,0,0,0,77,77,77,0,YES,
US10338,2026-02,YES,NO,0,0,0,0,0,387,387,387,0,YES,
US10351,2026-03,YES,NO,0,0,0,0,0,44,44,44,0,YES,
US10482,2026-03,YES,NO,0,0,0,0,0,529,529,529,0,YES,
US10495,2026-02,YES,NO,0,0,0,0,0,81,81,81,0,YES,
US10508,2026-02,YES,NO,0,0,0,0,0,1185,1185,1185,0,YES,
US10520,2026-02,YES,NO,0,0,0,0,0,126,126,126,0,YES,
US10539,2026-03,YES,NO,0,0,0,0,0,59,59,59,0,YES,
US10724,2026-02,YES,NO,0,0,0,0,0,65,65,65,0,YES,
US10783,2026-01,YES,YES,45,45,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US10783,2026-02,YES,NO,0,0,0,0,0,44,44,44,0,YES,
US10837,2026-03,YES,NO,0,0,0,0,0,121,121,121,0,YES,
US10855,2026-03,YES,NO,0,0,0,0,0,49,49,49,0,YES,
US10865,2026-03,YES,NO,0,0,0,0,0,396,396,396,0,YES,
US10877,2026-01,YES,YES,404,404,0,224,0,0,0,0,0,NO,No old redemption or balance impact for this month
US10877,2026-02,YES,NO,0,0,0,0,0,374,374,374,0,YES,
US10877,2026-04,YES,YES,224,-150,-374,0,92,0,92,0,374,YES,
US1090,2026-01,YES,YES,242,242,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1090,2026-02,YES,YES,242,242,0,0,0,241,241,241,0,YES,
US10908,2026-03,YES,NO,0,0,0,0,0,51,51,51,0,YES,
US10931,2026-01,YES,YES,235,235,0,17,0,0,0,0,0,NO,No old redemption or balance impact for this month
US10931,2026-02,YES,NO,0,0,0,0,0,231,231,231,0,YES,
US10956,2026-02,YES,NO,0,0,0,0,0,362,362,362,0,YES,
US10957,2026-01,YES,YES,131,131,0,35,0,0,0,0,0,NO,No old redemption or balance impact for this month
US10957,2026-02,YES,NO,0,0,0,0,0,126,126,126,0,YES,
US10960,2026-01,YES,YES,335,335,0,95,0,0,0,0,0,NO,No old redemption or balance impact for this month
US10960,2026-02,YES,NO,0,0,0,0,0,335,335,335,0,YES,
US10960,2026-05,YES,YES,1010,675,-335,0,358,0,358,0,335,YES,
US11009,2026-02,YES,NO,0,0,0,0,0,45,45,45,0,YES,
US11020,2026-01,YES,YES,237,237,0,20,0,0,0,0,0,NO,No old redemption or balance impact for this month
US11020,2026-02,YES,NO,0,0,0,0,0,172,172,172,0,YES,
US11020,2026-05,YES,YES,322,150,-172,0,170,0,170,0,172,YES,
US1162,2026-01,YES,YES,42,42,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1162,2026-02,YES,YES,42,42,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1162,2026-03,YES,NO,0,0,0,0,0,42,42,42,0,YES,
US12253,2026-01,YES,YES,60,60,0,20,0,0,0,0,0,NO,No old redemption or balance impact for this month
US12253,2026-03,YES,NO,0,0,0,0,0,57,57,57,0,YES,
US12419,2026-02,YES,YES,186,186,0,0,0,192,192,192,0,YES,
US12419,2026-03,YES,YES,0,-192,-192,0,0,0,0,0,192,YES,
US12419,2026-04,YES,YES,0,-192,-192,0,0,0,0,0,192,YES,
US12419,2026-05,YES,YES,186,-6,-192,0,0,0,0,0,192,YES,
US12429,2026-01,YES,YES,12,12,0,20,0,0,0,0,0,NO,No old redemption or balance impact for this month
US12429,2026-02,YES,YES,20,20,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US12429,2026-03,YES,NO,0,0,0,0,0,12,12,12,0,YES,
US12570,2026-01,YES,YES,32,32,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US12570,2026-02,YES,YES,0,0,0,0,0,32,32,32,0,YES,
US12570,2026-03,YES,YES,0,-32,-32,0,0,0,0,0,32,YES,
US12570,2026-04,YES,YES,32,0,-32,0,0,0,0,0,32,YES,
US12570,2026-05,YES,YES,32,0,-32,0,0,0,0,0,32,YES,
US12606,2026-02,YES,YES,489,489,0,18,0,0,0,0,0,NO,No old redemption or balance impact for this month
US12606,2026-03,YES,YES,18,18,0,0,0,572,572,572,0,YES,
US12606,2026-04,YES,YES,18,-554,-572,23,0,0,0,0,572,YES,
US12606,2026-05,YES,YES,530,-42,-572,0,0,0,0,0,572,YES,
US12607,2026-01,YES,YES,60,60,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US12607,2026-02,YES,YES,0,0,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US12607,2026-03,YES,YES,0,0,0,0,0,59,59,59,0,YES,
US12607,2026-04,YES,YES,60,1,-59,0,0,0,0,0,59,YES,
US12607,2026-05,YES,YES,60,1,-59,0,0,0,0,0,59,YES,
US1264,2026-01,YES,YES,180,180,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1264,2026-02,YES,YES,180,180,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1264,2026-03,YES,NO,0,0,0,0,0,176,176,176,0,YES,
US1270,2026-01,YES,YES,180,180,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1270,2026-02,YES,YES,180,180,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1270,2026-03,YES,NO,0,0,0,0,0,180,180,180,0,YES,
US12807,2026-02,YES,YES,0,0,0,37,0,88,88,88,0,YES,
US12807,2026-03,YES,YES,37,-51,-88,0,0,0,0,0,88,YES,
US12807,2026-04,YES,YES,37,-51,-88,0,0,0,0,0,88,YES,
US12807,2026-05,YES,YES,37,-51,-88,0,0,0,0,0,88,YES,
US12871,2026-02,YES,YES,39,39,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US12871,2026-03,YES,YES,0,0,0,39,0,86,86,86,0,YES,
US12871,2026-04,YES,YES,39,-47,-86,101,0,0,0,0,86,YES,
US12871,2026-05,YES,YES,140,54,-86,0,0,0,0,0,86,YES,
US13004,2026-01,YES,YES,248,248,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US13004,2026-02,YES,NO,0,0,0,0,0,247,247,247,0,YES,
US1312,2026-01,YES,YES,154,154,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1312,2026-02,YES,YES,154,154,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1312,2026-03,YES,NO,0,0,0,0,0,153,153,153,0,YES,
US13153,2026-01,YES,YES,13,13,0,42,0,0,0,0,0,NO,No old redemption or balance impact for this month
US13153,2026-02,YES,NO,0,0,0,0,0,124,124,124,0,YES,
US13164,2026-01,YES,YES,478,478,0,17,0,0,0,0,0,NO,No old redemption or balance impact for this month
US13164,2026-02,YES,NO,0,0,0,0,0,307,307,307,0,YES,
US13167,2026-01,YES,YES,100,100,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US13167,2026-02,YES,NO,0,0,0,0,0,100,100,100,0,YES,
US13220,2026-01,YES,YES,176,176,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US13220,2026-02,YES,NO,0,0,0,0,0,166,166,166,0,YES,
US13294,2026-01,YES,YES,262,262,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US13294,2026-02,YES,NO,0,0,0,0,0,261,261,261,0,YES,
US13409,2026-01,YES,YES,59,59,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US13409,2026-03,YES,NO,0,0,0,0,0,43,43,43,0,YES,
US1348,2026-01,YES,YES,114,114,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1348,2026-02,YES,YES,114,114,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1348,2026-03,YES,NO,0,0,0,0,0,114,114,114,0,YES,
US13491,2026-01,YES,YES,714,714,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US13491,2026-02,YES,NO,0,0,0,0,0,714,714,714,0,YES,
US13502,2026-01,YES,YES,419,419,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US13502,2026-02,YES,NO,0,0,0,0,0,418,418,418,0,YES,
US13745,2026-01,YES,YES,155,155,0,21,0,0,0,0,0,NO,No old redemption or balance impact for this month
US13745,2026-03,YES,NO,0,0,0,0,0,155,155,155,0,YES,
US13779,2026-01,YES,YES,842,842,0,1040,0,0,0,0,0,NO,No old redemption or balance impact for this month
US13779,2026-02,YES,NO,0,0,0,0,0,246,246,246,0,YES,
US1383,2026-01,YES,YES,8,8,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1383,2026-02,YES,YES,8,8,0,0,0,16,16,16,0,YES,
US13939,2026-01,YES,YES,146,146,0,36,0,0,0,0,0,NO,No old redemption or balance impact for this month
US13939,2026-02,YES,NO,0,0,0,0,0,146,146,146,0,YES,
US1397,2026-01,YES,YES,45,45,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1397,2026-02,YES,YES,23,23,0,22,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1397,2026-03,YES,NO,0,0,0,0,0,22,22,22,0,YES,
US1397,2026-06,YES,YES,45,23,-22,0,42,0,42,0,22,YES,
US13971,2026-01,YES,YES,383,383,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US13971,2026-02,YES,NO,0,0,0,0,0,370,370,370,0,YES,
US14206,2026-01,YES,YES,422,422,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US14206,2026-03,YES,NO,0,0,0,0,0,430,430,430,0,YES,
US14389,2026-01,YES,YES,61,61,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US14389,2026-02,YES,NO,0,0,0,0,0,61,61,61,0,YES,
US14421,2026-01,YES,YES,120,120,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US14421,2026-02,YES,NO,0,0,0,0,0,120,120,120,0,YES,
US14459,2026-01,YES,YES,25,25,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US14459,2026-02,YES,NO,0,0,0,0,0,25,25,25,0,YES,
US14483,2026-01,YES,YES,57,57,0,26,0,0,0,0,0,NO,No old redemption or balance impact for this month
US14483,2026-02,YES,NO,0,0,0,0,0,57,57,57,0,YES,
US1465,2026-01,YES,YES,358,358,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1465,2026-02,YES,YES,358,358,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1465,2026-03,YES,NO,0,0,0,0,0,352,352,352,0,YES,
US14650,2026-02,YES,NO,0,0,0,0,0,97,97,97,0,YES,
US14671,2026-02,YES,NO,0,0,0,0,0,111,111,111,0,YES,
US14710,2026-02,YES,NO,0,0,0,0,0,306,306,306,0,YES,
US14723,2026-02,YES,NO,0,0,0,0,0,655,655,655,0,YES,
US14755,2026-02,YES,NO,0,0,0,0,0,194,194,194,0,YES,
US14860,2026-03,YES,NO,0,0,0,0,0,254,254,254,0,YES,
US14928,2026-02,YES,NO,0,0,0,0,0,600,600,600,0,YES,
US14974,2026-02,YES,NO,0,0,0,0,0,90,90,90,0,YES,
US15084,2026-03,YES,NO,0,0,0,0,0,238,238,238,0,YES,
US15359,2026-02,YES,NO,0,0,0,0,0,77,77,77,0,YES,
US15681,2026-01,YES,YES,616,616,0,35,0,0,0,0,0,NO,No old redemption or balance impact for this month
US15681,2026-02,YES,YES,41,41,0,23,0,520,520,520,0,YES,
US15681,2026-03,YES,YES,131,-389,-520,35,90,0,90,0,520,YES,
US15681,2026-04,YES,YES,670,150,-520,0,0,0,0,0,520,YES,
US15681,2026-05,YES,YES,670,150,-520,0,0,0,0,0,520,YES,
US15802,2026-02,YES,NO,0,0,0,0,0,273,273,273,0,YES,
US15955,2026-02,YES,NO,0,0,0,0,0,87,87,87,0,YES,
US16137,2026-02,YES,YES,7,7,0,32,0,492,492,492,0,YES,
US16137,2026-03,YES,YES,34,-458,-492,245,0,0,0,0,492,YES,
US16137,2026-04,YES,YES,279,-213,-492,0,273,0,273,0,492,YES,
US16137,2026-05,YES,YES,677,185,-492,26,128,0,128,0,492,YES,
US16155,2026-01,YES,YES,22,22,0,25,0,0,0,0,0,NO,No old redemption or balance impact for this month
US16155,2026-02,YES,NO,0,0,0,0,0,21,21,21,0,YES,
US1616,2026-01,YES,YES,25,25,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1616,2026-02,YES,YES,3,3,0,22,0,52,52,52,0,YES,
US16194,2026-02,YES,YES,184,184,0,0,0,176,176,176,0,YES,
US16194,2026-03,YES,YES,0,-176,-176,0,0,0,0,0,176,YES,
US16194,2026-04,YES,YES,0,-176,-176,0,0,0,0,0,176,YES,
US16194,2026-05,YES,YES,184,8,-176,16,0,0,0,0,176,YES,
US16201,2026-01,YES,YES,268,268,0,88,0,0,0,0,0,NO,No old redemption or balance impact for this month
US16201,2026-02,YES,YES,88,88,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US16201,2026-03,YES,YES,88,88,0,0,0,267,267,267,0,YES,
US16201,2026-04,YES,YES,356,89,-267,0,0,0,0,0,267,YES,
US16201,2026-05,YES,YES,356,89,-267,0,0,0,0,0,267,YES,
US16256,2026-01,YES,YES,371,371,0,17,0,0,0,0,0,NO,No old redemption or balance impact for this month
US16256,2026-02,YES,NO,0,0,0,0,0,370,370,370,0,YES,
US16269,2026-01,YES,YES,1144,1144,0,122,0,0,0,0,0,NO,No old redemption or balance impact for this month
US16269,2026-02,YES,NO,0,0,0,0,0,788,788,788,0,YES,
US16335,2026-02,YES,YES,36,36,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US16335,2026-03,YES,YES,0,0,0,0,0,68,68,68,0,YES,
US16335,2026-04,YES,YES,0,-68,-68,0,0,0,0,0,68,YES,
US16335,2026-05,YES,YES,36,-32,-68,0,0,0,0,0,68,YES,
US16339,2026-02,YES,YES,89,89,0,16,0,150,150,150,0,YES,
US16339,2026-03,YES,YES,16,-134,-150,0,0,0,0,0,150,YES,
US16339,2026-04,YES,YES,16,-134,-150,0,0,0,0,0,150,YES,
US16339,2026-05,YES,YES,105,-45,-150,16,0,0,0,0,150,YES,
US1641,2026-01,YES,YES,691,691,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1641,2026-02,YES,YES,691,691,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1641,2026-03,YES,NO,0,0,0,0,0,675,675,675,0,YES,
US16554,2026-02,YES,YES,37,37,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US16554,2026-03,YES,YES,0,0,0,37,0,550,550,550,0,YES,
US16554,2026-04,YES,YES,37,-513,-550,0,0,0,0,0,550,YES,
US16554,2026-05,YES,YES,37,-513,-550,0,0,0,0,0,550,YES,
US16607,2026-01,YES,YES,93,93,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US16607,2026-02,YES,NO,0,0,0,0,0,64,64,64,0,YES,
US16644,2026-02,YES,YES,4,4,0,41,0,97,97,97,0,YES,
US16644,2026-03,YES,YES,41,-56,-97,103,22,0,22,0,97,YES,
US16644,2026-04,YES,YES,122,25,-97,0,120,0,120,0,97,YES,
US16644,2026-05,YES,YES,6,-91,-97,37,0,0,0,0,97,YES,
US16722,2026-01,YES,YES,211,211,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US16722,2026-02,YES,YES,0,0,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US16722,2026-03,YES,NO,0,0,0,0,0,208,208,208,0,YES,
US16848,2026-01,YES,YES,191,191,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US16848,2026-03,YES,NO,0,0,0,0,0,191,191,191,0,YES,
US16849,2026-01,YES,YES,272,272,0,16,0,0,0,0,0,NO,No old redemption or balance impact for this month
US16849,2026-03,YES,NO,0,0,0,0,0,230,230,230,0,YES,
US16869,2026-02,YES,YES,146,146,0,21,0,0,0,0,0,NO,No old redemption or balance impact for this month
US16869,2026-03,YES,YES,21,21,0,92,0,268,268,268,0,YES,
US16869,2026-04,YES,YES,113,-155,-268,31,0,0,0,0,268,YES,
US16869,2026-05,YES,YES,290,22,-268,0,0,0,0,0,268,YES,
US16870,2026-02,YES,YES,33,33,0,0,0,1462,1462,1462,0,YES,
US16870,2026-03,YES,YES,0,-1462,-1462,33,0,732,732,732,1462,YES,
US16870,2026-04,YES,YES,33,-2161,-2194,34,0,0,0,0,2194,YES,
US16870,2026-05,YES,YES,91,-2103,-2194,30,0,0,0,0,2194,YES,
US16878,2026-02,YES,YES,17,17,0,0,0,202,202,202,0,YES,
US16878,2026-03,YES,YES,0,-202,-202,17,0,0,0,0,202,YES,
US16878,2026-04,YES,YES,17,-185,-202,0,0,0,0,0,202,YES,
US16878,2026-05,YES,YES,17,-185,-202,0,0,0,0,0,202,YES,
US1693,2026-01,YES,YES,35,35,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1693,2026-02,YES,YES,35,35,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1693,2026-03,YES,NO,0,0,0,0,0,35,35,35,0,YES,
US1702,2026-01,YES,YES,379,379,0,97,0,0,0,0,0,NO,No old redemption or balance impact for this month
US1702,2026-02,YES,YES,476,476,0,0,0,379,379,379,0,YES,
US17102,2026-02,YES,YES,22,22,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US17102,2026-03,YES,YES,0,0,0,0,0,17,17,17,0,YES,
US17102,2026-04,YES,YES,0,-17,-17,0,0,0,0,0,17,YES,
US17212,2026-01,YES,YES,42,42,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US17212,2026-02,YES,NO,0,0,0,0,0,41,41,41,0,YES,
US17311,2026-03,YES,NO,0,0,0,0,0,177,177,177,0,YES,
US17316,2026-02,YES,YES,3,3,0,90,0,74,74,74,0,YES,
US17316,2026-03,YES,YES,166,92,-74,217,0,0,0,0,74,YES,
US17316,2026-04,YES,YES,383,309,-74,89,161,0,161,0,74,YES,
US17316,2026-05,YES,YES,314,240,-74,35,0,0,0,0,74,YES,
US17350,2026-01,YES,YES,654,654,0,23,0,0,0,0,0,NO,No old redemption or balance impact for this month
US17350,2026-02,YES,YES,517,517,0,0,0,160,160,160,0,YES,
US17350,2026-03,YES,YES,517,357,-160,0,0,0,0,0,160,YES,
US17350,2026-04,YES,YES,1171,1011,-160,0,0,0,0,0,160,YES,
US17350,2026-05,YES,YES,1171,1011,-160,17,0,0,0,0,160,YES,
US17493,2026-02,YES,YES,18,18,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US17493,2026-03,YES,YES,0,0,0,0,0,168,168,168,0,YES,
US17493,2026-04,YES,YES,0,-168,-168,0,0,0,0,0,168,YES,
US17493,2026-05,YES,YES,18,-150,-168,0,0,0,0,0,168,YES,
US17554,2026-01,YES,YES,107,107,0,0,0,0,0,0,0,NO,No old redemption or balance impact for this month
US17554,2026-02,YES,YES,0,0,0,0,0,98,98,98,0,YES,
US17713,2026-02,YES,YES,325,325,0,130,0,0,0,0,0,NO,No old redemption or balance impact for this month
